x,f(x)
-3.141592653589793,Infinity
-2.842393353247908,-3.3925915424611013
-2.5431940529060233,-1.7751869281713857
-2.2439947525641384,-1.2790573926921043
-1.9447954522222533,-1.0742605709835502
-1.6455961518803681,-1.002798109833469
-1.346396851538483,-1.0257161765671052
-1.0471975511965979,-1.1547060479096276
-0.7479982508547127,-1.4702151967297283
-0.44879895051282764,-2.304761016441618
-0.14959965017094257,-6.70950612483468
0.1495996501709425,-7.370989355674716
0.4487989505128276,-1.3120995032131937
0.7479982508547127,-0.17238000198932033
1.0471975511965979,-0.004350591750033895
1.346396851538483,-0.1808740023319519
1.6455961518803681,-0.5076918874266666
1.9447954522222533,-0.9054192597788262
2.2439947525641384,-1.3367721652193756
2.5431940529060233,-1.7822727264070783
2.842393353247908,-2.2313151879350546
3.141592653589793,-2.679257104166353
